"","db_id","article_id","resource_name","access","available","unavailable_message","available_update_date","notes","article_year","citations","status"
"1","MBDC0001",272,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",1998,22,"yes"
"2","MBDC0001",218,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","Access - Other; had this address since 1997 at least",1997,26,"yes"
"3","MBDC0001",2915,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2015,7,"yes"
"4","MBDC0001",1926,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2010,44,"yes"
"5","MBDC0001",2738,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2014,22,"yes"
"6","MBDC0001",2151,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp/","yes","not_applicable","2016","not_applicable",2011,32,"yes"
"7","MBDC0001",2324,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp/","yes","not_applicable","2016","not_applicable",2012,24,"yes"
"8","MBDC0001",721,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2002,65,"yes"
"9","MBDC0001",1739,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2009,13,"yes"
"10","MBDC0001",771,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2003,66,"yes"
"11","MBDC0001",2554,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2013,15,"yes"
"12","MBDC0001",1227,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2006,32,"yes"
"13","MBDC0001",1150,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2005,32,"yes"
"14","MBDC0001",358,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp/","yes","not_applicable","2016","not_applicable",1999,16,"yes"
"15","MBDC0001",3030,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2016,4,"yes"
"16","MBDC0001",952,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2004,59,"yes"
"17","MBDC0001",1691,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2008,47,"yes"
"18","MBDC0001",451,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2000,46,"yes"
"19","MBDC0001",1519,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",2007,14,"yes"
"20","MBDC0002",2699,"EMBL-EBI ENA: European Nucleotide Archive","http://www.ebi.ac.uk/ena","yes","not_applicable","2016","not_applicable",2014,16,"yes"
"21","MBDC0002",2878,"EMBL-EBI ENA: European Nucleotide Archive","http://www.ebi.ac.uk/ena","yes","not_applicable","2016","not_applicable",2015,18,"yes"
"22","MBDC0002",2088,"EMBL-EBI ENA: European Nucleotide Archive","http://www.ebi.ac.uk/ena","yes","not_applicable","2017","not_applicable",2011,122,"yes"
"23","MBDC0002",400,"EMBL-EBI ENA: European Nucleotide Archive","http://www.ebi.ac.uk/embl.html","no","not found","not_applicable","not_applicable",1999,115,"yes"
"24","MBDC0002",333,"EMBL-EBI ENA: European Nucleotide Archive","http://www.ebi.ac.uk/embl.html","no","not found","not_applicable","not_applicable",1998,68,"yes"
"25","MBDC0002",1885,"EMBL-EBI ENA: European Nucleotide Archive","http://www.ebi.ac.uk/embl","yes","not_applicable","2017","not_applicable",2009,63,"yes"
